condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category,diff
1,Brown,0.04,17.67,13,9,0,2,2594.345833
0,Brown,0.99,11.08,0,7,1,2,1484.522222
2,Brown,0.81,36.25,13,9,1,1,52.78263889
1,Blue,0.58,35.08,0,1,0,2,490.6708333
2,Black,0.56,31.2,13,9,0,1,26.51736111
1,Black,0.93,27.65,0,1,0,1,547.7680556
0,Fawn,0.71,49.7,0,1,1,2,208.7097222
0,Brown,0.86,31.1,0,1,1,2,360.7298611
1,Black,0.29,43.52,0,7,0,2,756.5590278
1,Black,0.32,44.18,0,1,0,2,329.6979167
1,Tan,0.38,43.49,0,1,0,2,398.6541667
0,Black,0.38,35.29,0,7,1,2,666.5159722
2,Brown,0.07,43.81,13,9,1,1,67.63402778
2,rare,0.23,16.51,0,1,0,1,418.7805556
1,Blue,0.86,6.12,0,1,0,2,162.76875
0,Brown,0.6,22.52,0,1,1,1,760.7666667
1,Yellow,0.35,43.01,0,1,0,2,417.7340278
0,Brown,0.05,28.69,0,1,1,2,99.70763889
2,Tricolor,0.19,41.02,13,9,0,2,208.5930556
1,Black,0.08,22.64,0,1,0,1,92.54305556
1,Orange,0.58,40.94,0,7,0,1,780.7736111
0,Cream,0.03,47.89,0,1,1,2,756.8152778
1,rare,0.11,17.15,0,1,0,1,198.7791667
1,Blue,0.77,39.67,13,9,0,1,95.58888889
0,Black,0.22,24.84,0,1,1,2,99.76527778
1,Chocolate,0.75,45.5,0,7,0,2,4405.524306
0,Calico,0.41,30.09,0,1,1,1,2258.798611
0,Black,0.24,46.85,7,1,1,1,128.4541667
2,White,0.22,47.73,13,9,0,2,73.55277778
1,Black,0.67,34.63,0,1,0,2,278.7131944
0,Brown,0.9,29.29,7,1,1,1,203.5381944
1,Black,0.34,6.38,13,9,0,2,2581.558333
0,Tortie,0.2,6.89,7,1,1,1,97.55069444
0,White,0.89,15.46,0,1,1,2,332.9381944
1,Orange,0.79,31.53,0,1,0,1,91.76111111
0,Calico,0.87,34.05,0,1,1,1,5519.654861
2,Black,0.09,16.76,13,9,1,2,760.69375
1,Black,0.81,15.75,0,1,0,1,752.5347222
1,White,0.64,41,0,7,0,2,3219.661111
2,Brown,0.33,29.2,16,9,1,1,327.375
0,Tricolor,0.08,28.4,0,1,1,2,331.7527778
2,Tan,0.74,39.7,13,9,1,2,2947.673611
1,Brown,0.55,6.48,0,7,0,1,2577.658333
0,Brown,0.6,41.97,13,9,1,1,799.6298611
2,White,0.61,21.14,0,1,0,1,87.54583333
0,Tan,0.19,40.55,13,9,1,2,112.6111111
1,White,0.35,22.39,13,9,0,2,1253
0,Black,0.79,9.41,7,1,1,1,460.3680556
0,Black,0.55,19.13,13,9,1,1,121.5895833
1,Brown,0.43,41.08,0,1,0,1,74.68263889
2,Cream,0.25,41.43,0,1,0,1,88.79652778
0,Blue,0.85,11.48,0,1,1,1,2594.686111
1,Black,0.67,35.4,0,1,0,2,3338.621528
1,Brown,0.51,7.54,0,7,0,2,1245.561111
0,Calico,0.33,7.34,0,1,1,1,207.725
1,Black,0.09,39.31,0,1,0,1,85.78125
1,Fawn,0.73,19.38,13,9,0,2,391
0,Blue,0.6,20.11,0,1,1,2,200.6826389
1,Black,0.65,5.88,0,1,0,2,1487.745833
1,Orange,0.26,27.23,0,1,0,1,117.4965278
2,Brown,0.51,48.49,13,9,1,1,1846.777778
1,Black,0.94,42.29,0,1,0,1,110.7708333
0,Tan,0.85,38.28,0,1,1,2,489.6111111
1,Orange,0.43,18.28,17,9,0,1,108.5993056
2,Orange,0.45,33.14,13,9,1,1,33.55486111
1,Orange,0.04,23.09,7,1,0,1,95.51319444
0,Brown,0.77,21.86,12,1,1,2,82.82013889
1,Brown,0.31,17.46,0,7,0,2,6192.802083
0,Brown,0.33,31.28,0,1,1,1,109.7125
1,White,0.03,36.48,0,1,0,1,104.5
2,Black,0.65,40.81,0,7,0,2,1311.472222
1,Black,0.24,18.19,13,9,0,2,1506
0,Brown,0.83,19.65,0,1,1,2,148.7958333
2,White,0.75,19.66,13,9,1,2,1129.566667
2,Calico,0.42,26.79,0,1,1,1,92.7375
0,rare,0.15,7.44,0,1,1,1,172.7590278
0,Brown,0.14,46.05,0,1,1,1,85.72222222
0,Black,0.55,30.56,0,1,1,2,193.75625
1,Black,0.57,38.4,0,7,0,2,3543.619444
0,White,0.28,29.16,0,7,1,2,573
1,White,0.74,5.7,0,1,0,2,755.7680556
2,Brown,0.79,38.73,18,4,0,2,3674.664583
1,Brown,0.9,40.24,7,1,0,1,86.50277778
1,Black,0.51,32.46,0,1,0,2,179.5583333
1,Tan,0.31,5.08,0,7,0,2,1375.579167
1,Orange,0.13,47.78,0,1,0,1,91.63541667
1,Red,0.33,41.54,0,1,0,2,297.6868056
1,Blue,0.3,25.84,0,1,0,1,126.7298611
1,Blue,0.78,12.88,0,1,0,1,1147.658333
1,Black,0.39,28.81,0,7,0,2,785.4909722
2,Black,0.04,31.46,0,7,0,2,1849.774306
2,Blue,0.89,24.03,0,7,0,2,81.71666667
1,Black,0.96,16.92,13,9,0,2,1878.63125
0,Brown,0.13,28.5,0,7,1,1,101.54375
1,Black,0.6,23.46,0,1,0,1,93.75208333
1,White,0.21,28.38,7,1,0,2,90.61597222
